Ocupação	Tempo	E[N]	E[W]	Erro de Little
100	0,822486	3,173245	0,63464	1,07914E-13
200	0,835172	4,333284	0,853814	8,26894E-13
300	0,858144	5,109164	0,99735	3,3662E-13
400	0,843069	4,58997	0,912372	2,66454E-13
500	0,836679	4,266477	0,848717	7,71827E-13
600	0,825489	3,978399	0,805852	2,01217E-12
700	0,826206	4,055874	0,814321	1,00098E-12
800	0,819418	3,876949	0,784304	1,7204E-12
900	0,820753	3,990331	0,802663	1,25722E-12
1000	0,816613	3,874983	0,781662	1,46194E-12
1100	0,815274	3,845845	0,776077	1,79368E-12
1200	0,822579	4,059991	0,815411	6,23679E-12
1300	0,823056	4,257759	0,854481	4,94804E-12
1400	0,822456	4,173058	0,838758	7,07612E-12
1500	0,8232	4,203744	0,844794	6,93667E-13
1600	0,828666	4,561247	0,910651	1,13083E-11
1700	0,830807	4,684205	0,931898	4,00036E-12
1800	0,830182	4,628601	0,921973	4,44178E-12
1900	0,827165	4,518016	0,901898	9,4893E-12
2000	0,823127	4,413988	0,883856	6,23768E-12
2100	0,82325	4,38854	0,877114	1,27596E-11
2200	0,823402	4,332303	0,868952	8,99369E-12
2300	0,823405	4,305922	0,863576	2,01377E-11
2400	0,822945	4,324417	0,870953	2,20668E-11
2500	0,8256	4,316713	0,867	1,80052E-11
2600	0,829508	4,489016	0,898344	2,64277E-11
2700	0,831332	4,511188	0,899955	2,93543E-11
2800	0,830915	4,458167	0,890263	4,3368E-11
2900	0,831148	4,449602	0,890779	5,22196E-11
3000	0,830109	4,462681	0,893667	7,19087E-11
3100	0,831704	4,547702	0,911123	6,7538E-11
3200	0,830837	4,502181	0,901064	6,48317E-11
3300	0,831974	4,569446	0,91287	6,48841E-11
3400	0,832346	4,538622	0,906577	6,16902E-11
3500	0,834199	4,604773	0,917575	8,05036E-11
3600	0,833902	4,575489	0,911097	7,95044E-11
3700	0,835477	4,556558	0,906967	6,48575E-11
3800	0,836104	4,536954	0,902664	4,67235E-11
3900	0,83582	4,526989	0,900456	4,89093E-11
4000	0,836745	4,538163	0,902828	1,93818E-11
4100	0,836132	4,518036	0,89959	2,82796E-11
4200	0,836896	4,528677	0,900799	4,47509E-11
4300	0,837448	4,559295	0,90713	3,62563E-11
4400	0,835523	4,517276	0,899654	5,22009E-11
4500	0,834426	4,478383	0,891959	4,68035E-11
4600	0,834251	4,487373	0,893924	6,31699E-11
4700	0,834194	4,464125	0,888963	8,18137E-11
4800	0,833242	4,451213	0,886607	9,2796E-11
4900	0,832828	4,444125	0,88593	9,45937E-11
5000	0,833098	4,433225	0,884277	8,76801E-11
5100	0,833276	4,426365	0,882984	8,63984E-11
5200	0,835282	4,456404	0,887642	9,48512E-11
5300	0,834634	4,430298	0,88284	9,87574E-11
5400	0,83589	4,469175	0,890372	1,10573E-10
5500	0,835818	4,464423	0,889192	1,09619E-10
5600	0,835178	4,441517	0,884493	1,24318E-10
5700	0,835037	4,428003	0,881668	1,0026E-10
5800	0,834103	4,396755	0,875907	1,57872E-10
5900	0,834959	4,453975	0,886834	1,68497E-10
6000	0,835407	4,461191	0,887725	1,66104E-10
6100	0,835317	4,445694	0,885653	1,56498E-10
6200	0,835717	4,435455	0,883919	1,86609E-10
6300	0,836136	4,433176	0,883676	1,61594E-10
6400	0,835412	4,411682	0,880542	1,80524E-10
6500	0,835342	4,41053	0,880397	1,72207E-10
6600	0,835792	4,398781	0,877122	1,50631E-10
6700	0,835798	4,377865	0,873205	1,36423E-10
6800	0,836873	4,408372	0,878305	1,0306E-10
6900	0,835562	4,384134	0,875278	9,58469E-11
7000	0,835352	4,373371	0,873321	1,01414E-10
7100	0,835995	4,398285	0,877972	8,53841E-11
7200	0,835956	4,394181	0,877543	6,996E-11
7300	0,834978	4,368317	0,873329	4,11706E-11
7400	0,835448	4,372266	0,874568	6,09273E-11
7500	0,835914	4,406917	0,880718	7,61036E-11
7600	0,836299	4,414874	0,882368	1,21505E-10
7700	0,836455	4,409066	0,880731	9,27187E-11
7800	0,836534	4,434409	0,885696	1,15969E-11
7900	0,836665	4,453481	0,890075	6,69402E-11
8000	0,836676	4,454824	0,89006	7,50875E-11
8100	0,836636	4,443336	0,887042	7,39888E-11
8200	0,837116	4,459033	0,889967	9,69447E-11
8300	0,836444	4,437954	0,885921	1,22072E-10
8400	0,83656	4,446855	0,887767	1,44568E-10
8500	0,836233	4,436809	0,885672	1,522E-10
8600	0,837133	4,454158	0,888635	2,06547E-10
8700	0,837825	4,495792	0,896529	2,27028E-10
8800	0,837981	4,498519	0,897079	2,0612E-10
8900	0,838791	4,568816	0,910671	2,01437E-10
9000	0,838911	4,579592	0,912404	1,53931E-10
9100	0,839313	4,585913	0,91364	1,43078E-10
9200	0,839001	4,573447	0,911859	1,61694E-10
9300	0,838721	4,572301	0,911928	1,2745E-10
9400	0,838595	4,563209	0,91074	1,37891E-10
9500	0,838002	4,543729	0,907306	5,65183E-11
9600	0,837842	4,543102	0,906901	5,29345E-11
9700	0,837693	4,532356	0,904782	6,72786E-11
9800	0,837654	4,521478	0,902811	8,74865E-11
9900	0,837421	4,511688	0,900806	7,58611E-11
10000	0,836943	4,501069	0,899039	7,67226E-11
10100	0,836698	4,491807	0,898103	7,03215E-11
10200	0,836206	4,478665	0,895785	7,43672E-11
10300	0,836785	4,49961	0,899897	6,19487E-11
10400	0,835951	4,478902	0,896708	6,38796E-11
10500	0,836378	4,506579	0,901999	7,62759E-11
10600	0,836122	4,495814	0,900145	5,09282E-11
10700	0,835884	4,493074	0,899621	5,4329E-11
10800	0,835867	4,486079	0,898312	7,18696E-11
10900	0,835301	4,468939	0,894904	9,17488E-13
11000	0,834377	4,450105	0,891542	8,11573E-11
11100	0,834438	4,447717	0,890953	4,96279E-11
11200	0,834302	4,438756	0,889242	3,89972E-11
11300	0,834417	4,432715	0,887891	2,35687E-11
11400	0,8346	4,427842	0,886808	3,39631E-11
11500	0,834579	4,420323	0,885501	5,40865E-11
11600	0,833859	4,404693	0,882623	9,2709E-11
11700	0,834146	4,418627	0,884873	1,19936E-10
11800	0,834341	4,416833	0,884324	9,62412E-11
11900	0,833437	4,399057	0,881075	1,23834E-10
12000	0,833832	4,4219	0,885514	1,79025E-10
12100	0,834212	4,428897	0,886458	1,23606E-10
12200	0,834501	4,436766	0,887861	1,09606E-10
12300	0,834298	4,427445	0,886214	1,76279E-10
12400	0,833884	4,41897	0,884799	2,13213E-10
12500	0,834287	4,436085	0,887736	2,66258E-10
12600	0,833811	4,421427	0,884971	1,82064E-10
12700	0,833963	4,415752	0,883316	2,13854E-10
12800	0,83409	4,428621	0,885672	3,22283E-10
12900	0,833308	4,412946	0,882779	3,67915E-10
13000	0,833382	4,40829	0,881784	3,70591E-10
13100	0,833373	4,401276	0,880375	4,17568E-10
13200	0,833343	4,395278	0,879199	3,87865E-10
13300	0,833539	4,386461	0,877605	3,79643E-10
13400	0,833016	4,379749	0,876714	3,65453E-10
13500	0,832876	4,375563	0,875744	3,93349E-10
13600	0,832994	4,373869	0,874965	4,08844E-10
13700	0,832742	4,375034	0,875685	4,00497E-10
13800	0,832546	4,364577	0,873876	3,52062E-10
13900	0,832684	4,380568	0,876625	3,6545E-10
14000	0,832991	4,392778	0,878886	4,02572E-10
14100	0,833015	4,389773	0,878326	4,14108E-10
14200	0,833492	4,398662	0,879937	4,05278E-10
14300	0,833642	4,393394	0,878742	4,17359E-10
14400	0,833645	4,397953	0,879773	3,76886E-10
14500	0,833908	4,412507	0,882025	3,83637E-10
14600	0,833711	4,410708	0,882044	4,39547E-10
14700	0,834083	4,40945	0,881373	5,04033E-10
14800	0,834418	4,408002	0,881049	5,27681E-10
14900	0,834867	4,428442	0,884878	4,79117E-10
15000	0,834935	4,433725	0,886238	4,26993E-10
15100	0,83468	4,42297	0,884228	5,37234E-10
15200	0,834895	4,424934	0,884251	5,25143E-10
15300	0,834714	4,416593	0,882834	4,64397E-10
15400	0,834671	4,408881	0,881278	4,74591E-10
15500	0,834343	4,397054	0,879295	5,30593E-10
15600	0,834716	4,434006	0,886144	4,29895E-10
15700	0,834632	4,425163	0,884232	5,65397E-10
15800	0,834717	4,420306	0,883194	5,80764E-10
15900	0,835132	4,428585	0,884463	4,48749E-10
16000	0,835078	4,429745	0,884748	4,63968E-10
16100	0,835054	4,427938	0,884427	4,79151E-10
16200	0,835006	4,423179	0,883398	5,44883E-10
16300	0,835104	4,419628	0,882526	4,90733E-10
16400	0,834627	4,408325	0,880599	4,48919E-10
16500	0,835044	4,413942	0,881377	4,68779E-10
16600	0,834929	4,408557	0,880529	5,31162E-10
16700	0,834912	4,400858	0,879002	5,66231E-10
